policy,removed_lot,macro_aurc,macro_random_aurc,relative_reduction_vs_random,worst_lot_aurc,lots_worse_than_random,median_policy_minus_random,excluded_lot_of_interest
periodic,3,0.13512461616839586,0.14196485184681057,0.04818260005508812,0.21654905421139864,3,-0.0044922995047652695,8
periodic,4,0.13223895551126771,0.14153834743404575,0.06570227850873689,0.21654905421139864,3,-0.0044922995047652695,8
periodic,5,0.13211817539352178,0.1413060508230024,0.06502110402185968,0.21654905421139864,3,-0.0044922995047652695,8
periodic,6,0.13019361877963545,0.14082312252503515,0.07548123883923974,0.21654905421139864,2,-0.0044922995047652695,8
periodic,7,0.13786288900964072,0.1432883619551606,0.037864016808410894,0.21654905421139864,3,-0.0044922995047652695,8
periodic,8,0.12427402139116313,0.13047410592584205,0.047519655265565675,0.16829069435023752,3,-0.0044922995047652695,8
periodic,9,0.13738359659622498,0.14771223387821308,0.06992404766218574,0.21654905421139864,2,-0.0044922995047652695,8
periodic,10,0.13790882782343072,0.146409791626241,0.05806280924510676,0.21654905421139864,3,-0.0044922995047652695,8
random,none,0.14191073227819412,0.14191073227819412,0.0,0.24484036944936266,0,0.0,8
random,1,0.13955187599728175,0.13955187599728175,0.0,0.24484036944936266,0,0.0,8
random,2,0.14603858077030873,0.14603858077030873,0.0,0.24484036944936266,0,0.0,8
random,3,0.14196485184681057,0.14196485184681057,0.0,0.24484036944936266,0,0.0,8
random,4,0.14153834743404575,0.14153834743404575,0.0,0.24484036944936266,0,0.0,8
random,5,0.1413060508230024,0.1413060508230024,0.0,0.24484036944936266,0,0.0,8
random,6,0.14082312252503515,0.14082312252503515,0.0,0.24484036944936266,0,0.0,8
random,7,0.1432883619551606,0.1432883619551606,0.0,0.24484036944936266,0,0.0,8
random,8,0.13047410592584205,0.13047410592584205,0.0,0.16314043880640547,0,0.0,8
random,9,0.14771223387821308,0.14771223387821308,0.0,0.24484036944936266,0,0.0,8
random,10,0.146409791626241,0.146409791626241,0.0,0.24484036944936266,0,0.0,8
training_weighted_candidate,none,0.14056215242875097,0.14191073227819412,0.009503015225088562,0.216179986821515,6,0.0021157145877200023,8
training_weighted_candidate,1,0.1375209432781035,0.13955187599728175,0.014553245555923744,0.216179986821515,5,0.0021157145877200023,8
training_weighted_candidate,2,0.1443967774251434,0.14603858077030873,0.011242257604157313,0.216179986821515,5,0.0021157145877200023,8
training_weighted_candidate,3,0.14013965228483116,0.14196485184681057,0.012856700360938,0.216179986821515,5,0.0021157145877200023,8
training_weighted_candidate,4,0.13874050266026172,0.14153834743404575,0.019767397489841243,0.216179986821515,5,0.0021157145877200023,8
training_weighted_candidate,5,0.14127782728806323,0.1413060508230024,0.0001997333785410671,0.216179986821515,6,0.0021157145877200023,8
training_weighted_candidate,6,0.13684510492780483,0.14082312252503515,0.028248326879153796,0.216179986821515,5,0.0021157145877200023,8
training_weighted_candidate,7,0.14522328404825446,0.1432883619551606,-0.013503693298548392,0.216179986821515,6,0.0021157145877200023,8
training_weighted_candidate,8,0.13216017082955497,0.13047410592584205,-0.012922601705132486,0.17401557993726643,6,0.0021157145877200023,8
training_weighted_candidate,9,0.14697305809860495,0.14771223387821308,0.005004160861974194,0.216179986821515,6,0.0021157145877200023,8
training_weighted_candidate,10,0.14234420344688756,0.146409791626241,0.027768553825499476,0.216179986821515,5,0.0021157145877200023,8
