lot_number,policy,requested_budget,selected_wafers,actual_metrology_fraction,retained_mae,random_p025,random_p975
3,random,0.2,2,0.2,0.14137934530897214,0.11354822527884154,0.16075425817438188
3,random,0.3,3,0.3,0.1412408497680676,0.10632569679426677,0.16708022592750507
3,random,0.4,4,0.4,0.1413336579051248,0.09907691380550998,0.17907780807123339
3,random,0.5,5,0.5,0.1413015418294197,0.09236518689221726,0.18972985261134706
3,random,0.6,6,0.6,0.14158166833100214,0.0845879417228866,0.20471298251742515
3,random,0.7,7,0.7,0.14165830680342661,0.08125061047007498,0.22301117844763096
3,random,0.8,8,0.8,0.1415130315330771,0.06363967375385268,0.2524638053360141
3,random,0.9,9,0.9,0.14148405579651976,0.044869266100433444,0.33172277372160025
3,periodic,0.0,0,0.0,0.14133134129027605,,
3,periodic,0.1,1,0.1,0.13778984177248138,,
3,periodic,0.2,2,0.2,0.11354822527884154,,
3,periodic,0.3,3,0.3,0.1108214648369655,,
3,periodic,0.4,4,0.4,0.12458980830193213,,
3,periodic,0.5,5,0.5,0.1133550126174921,,
3,periodic,0.6,6,0.6,0.11123267202805,,
3,periodic,0.7,7,0.7,0.12263083259255635,,
3,periodic,0.8,8,0.8,0.10448759538564908,,
3,periodic,0.9,9,0.9,0.1218443749752605,,
3,ood,0.0,0,0.0,0.14133134129027605,,
3,ood,0.1,1,0.1,0.13778984177248138,,
3,ood,0.2,2,0.2,0.11354822527884154,,
3,ood,0.3,3,0.3,0.1108214648369655,,
3,ood,0.4,4,0.4,0.10194072153131566,,
3,ood,0.5,5,0.5,0.1058468495561244,,
3,ood,0.6,6,0.6,0.12109124542004715,,
3,ood,0.7,7,0.7,0.09439537499273785,,
3,ood,0.8,8,0.8,0.08067087500147652,,
3,ood,0.9,9,0.9,0.0829048789910856,,
3,initial_state,0.0,0,0.0,0.14133134129027605,,
3,initial_state,0.1,1,0.1,0.14229754050342075,,
3,initial_state,0.2,2,0.2,0.13843412844754485,,
3,initial_state,0.3,3,0.3,0.1108214648369655,,
3,initial_state,0.4,4,0.4,0.09576189952613061,,
3,initial_state,0.5,5,0.5,0.09833330363313961,,
3,initial_state,0.6,6,0.6,0.11169931301631614,,
3,initial_state,0.7,7,0.7,0.09423044246479995,,
3,initial_state,0.8,8,0.8,0.10014062299356397,,
3,initial_state,0.9,9,0.9,0.1218443749752605,,
3,delta,0.0,0,0.0,0.14133134129027605,,
3,delta,0.1,1,0.1,0.14229754050342075,,
3,delta,0.2,2,0.2,0.1448541861944408,,
3,delta,0.3,3,0.3,0.13680780469336445,,
3,delta,0.4,4,0.4,0.13225811803044776,,
3,delta,0.5,5,0.5,0.09236518689221726,,
3,delta,0.6,6,0.6,0.0721552743776646,,
3,delta,0.7,7,0.7,0.0685720728398576,,
3,delta,0.8,8,0.8,0.06363967375385268,,
3,delta,0.9,9,0.9,0.044869266100433444,,
3,ewma,0.0,0,0.0,0.14133134129027605,,
3,ewma,0.1,1,0.1,0.14229754050342075,,
3,ewma,0.2,2,0.2,0.13493737597860148,,
3,ewma,0.3,3,0.3,0.1307704404511353,,
3,ewma,0.4,4,0.4,0.12369804103458652,,
3,ewma,0.5,5,0.5,0.12406877424645173,,
3,ewma,0.6,6,0.6,0.1354767500550978,,
3,ewma,0.7,7,0.7,0.1531656396043731,,
3,ewma,0.8,8,0.8,0.18829601991101685,,
3,ewma,0.9,9,0.9,0.044869266100433444,,
3,disagreement,0.0,0,0.0,0.14133134129027605,,
3,disagreement,0.1,1,0.1,0.13778984177248138,,
3,disagreement,0.2,2,0.2,0.12986621490629469,,
3,disagreement,0.3,3,0.3,0.12497482779707039,,
3,disagreement,0.4,4,0.4,0.1319864859314012,,
3,disagreement,0.5,5,0.5,0.13185667344328672,,
3,disagreement,0.6,6,0.6,0.14521162405114152,,
3,disagreement,0.7,7,0.7,0.17865907670137757,,
3,disagreement,0.8,8,0.8,0.20706642756443608,,
3,disagreement,0.9,9,0.9,0.0824100814072719,,
3,combined,0.0,0,0.0,0.14133134129027605,,
3,combined,0.1,1,0.1,0.14229754050342075,,
3,combined,0.2,2,0.2,0.13843412844754485,,
3,combined,0.3,3,0.3,0.1294705958397691,,
3,combined,0.4,4,0.4,0.12369804103458652,,
3,combined,0.5,5,0.5,0.08209309449718379,,
3,combined,0.6,6,0.6,0.0721552743776646,,
3,combined,0.7,7,0.7,0.0685720728398576,,
3,combined,0.8,8,0.8,0.06363967375385268,,
3,combined,0.9,9,0.9,0.0824100814072719,,
3,training_weighted_candidate,0.0,0,0.0,0.14133134129027605,,
3,training_weighted_candidate,0.1,1,0.1,0.13778984177248138,,
3,training_weighted_candidate,0.2,2,0.2,0.12986621490629469,,
3,training_weighted_candidate,0.3,3,0.3,0.12497482779707039,,
3,training_weighted_candidate,0.4,4,0.4,0.1319864859314012,,
3,training_weighted_candidate,0.5,5,0.5,0.13185667344328672,,
3,training_weighted_candidate,0.6,6,0.6,0.14521162405114152,,
3,training_weighted_candidate,0.7,7,0.7,0.17865907670137757,,
3,training_weighted_candidate,0.8,8,0.8,0.20706642756443608,,
3,training_weighted_candidate,0.9,9,0.9,0.0824100814072719,,
3,oracle,0.0,0,0.0,0.14133134129027605,,
3,oracle,0.1,1,0.1,0.12017673768679558,,
3,oracle,0.2,2,0.2,0.11005147280989813,,
3,oracle,0.3,3,0.3,0.10102956364696532,,
3,oracle,0.4,4,0.4,0.09051683680964874,,
3,oracle,0.5,5,0.5,0.08209309449718379,,
3,oracle,0.6,6,0.6,0.0721552743776646,,
3,oracle,0.7,7,0.7,0.0685720728398576,,
3,oracle,0.8,8,0.8,0.06165306855615044,,
3,oracle,0.9,9,0.9,0.044869266100433444,,
4,random,0.0,0,0.0,0.14558216783157493,0.14558216783157493,0.14558216783157493
4,random,0.1,1,0.1,0.14550959475697606,0.12135822365502213,0.1564852805839287
4,random,0.2,2,0.2,0.1454527003390078,0.11219042717372153,0.16865305396164715
4,random,0.3,3,0.3,0.14546263137032966,0.09974499794120772,0.18096636326312296
4,random,0.4,4,0.4,0.14529225570525123,0.09879715097087516,0.1920604943513903
4,random,0.5,5,0.5,0.14503415685054669,0.08862404841537312,0.2025402872477767
4,random,0.6,6,0.6,0.14498883006703597,0.0789056053671269,0.21575969312262458
4,random,0.7,7,0.7,0.1452175614347508,0.06642589562939484,0.23696659524706845
4,random,0.8,8,0.8,0.14505194722084547,0.05329862331128614,0.2791491304629885
4,random,0.9,9,0.9,0.14511800243846482,0.047454153060391156,0.36359766542055005
4,periodic,0.0,0,0.0,0.14558216783157493,,
4,periodic,0.1,1,0.1,0.14494124532716676,,
4,periodic,0.2,2,0.2,0.15275141488664806,,
4,periodic,0.3,3,0.3,0.15277282775399378,,
4,periodic,0.4,4,0.4,0.16136127167092942,,
4,periodic,0.5,5,0.5,0.18355492317966846,,
4,periodic,0.6,6,0.6,0.2150249778559138,,
4,periodic,0.7,7,0.7,0.11592913815685844,,
4,periodic,0.8,8,0.8,0.07581758918980701,,
4,periodic,0.9,9,0.9,0.057674704474687095,,
4,ood,0.0,0,0.0,0.14558216783157493,,
4,ood,0.1,1,0.1,0.1501822947773918,,
4,ood,0.2,2,0.2,0.15003627282815976,,
4,ood,0.3,3,0.3,0.1630210127232996,,
4,ood,0.4,4,0.4,0.17644786670196347,,
4,ood,0.5,5,0.5,0.18121713507931048,,
4,ood,0.6,6,0.6,0.17784626997278136,,
4,ood,0.7,7,0.7,0.11592913815685844,,
4,ood,0.8,8,0.8,0.1501666307050921,,
4,ood,0.9,9,0.9,0.057674704474687095,,
4,initial_state,0.0,0,0.0,0.14558216783157493,,
4,initial_state,0.1,1,0.1,0.1501822947773918,,
4,initial_state,0.2,2,0.2,0.14987989102266225,,
4,initial_state,0.3,3,0.3,0.1595113199042831,,
4,initial_state,0.4,4,0.4,0.16087146149312223,,
4,initial_state,0.5,5,0.5,0.12032622070763668,,
4,initial_state,0.6,6,0.6,0.10173262700818911,,
4,initial_state,0.7,7,0.7,0.11592913815685844,,
4,initial_state,0.8,8,0.8,0.1501666307050921,,
4,initial_state,0.9,9,0.9,0.057674704474687095,,
4,delta,0.0,0,0.0,0.14558216783157493,,
4,delta,0.1,1,0.1,0.14480223927783567,,
4,delta,0.2,2,0.2,0.14987989102266225,,
4,delta,0.3,3,0.3,0.14347693323941013,,
4,delta,0.4,4,0.4,0.15777730470019732,,
4,delta,0.5,5,0.5,0.17284078786997353,,
4,delta,0.6,6,0.6,0.15538634560359266,,
4,delta,0.7,7,0.7,0.15673163734770745,,
4,delta,0.8,8,0.8,0.05329862331128614,,
4,delta,0.9,9,0.9,0.047454153060391156,,
4,ewma,0.0,0,0.0,0.14558216783157493,,
4,ewma,0.1,1,0.1,0.1501822947773918,,
4,ewma,0.2,2,0.2,0.14987989102266225,,
4,ewma,0.3,3,0.3,0.1595113199042831,,
4,ewma,0.4,4,0.4,0.14565344706574743,,
4,ewma,0.5,5,0.5,0.13584401737781154,,
4,ewma,0.6,6,0.6,0.13196740412945235,,
4,ewma,0.7,7,0.7,0.15673163734770745,,
4,ewma,0.8,8,0.8,0.05329862331128614,,
4,ewma,0.9,9,0.9,0.047454153060391156,,
4,disagreement,0.0,0,0.0,0.14558216783157493,,
4,disagreement,0.1,1,0.1,0.1564852805839287,,
4,disagreement,0.2,2,0.2,0.130596232479351,,
4,disagreement,0.3,3,0.3,0.13436983350222648,,
4,disagreement,0.4,4,0.4,0.1315397273573895,,
4,disagreement,0.5,5,0.5,0.14601905411643118,,
4,disagreement,0.6,6,0.6,0.12185917841166469,,
4,disagreement,0.7,7,0.7,0.09757870604707726,,
4,disagreement,0.8,8,0.8,0.07006729666300172,,
4,disagreement,0.9,9,0.9,0.057674704474687095,,
4,combined,0.0,0,0.0,0.14558216783157493,,
4,combined,0.1,1,0.1,0.1501822947773918,,
4,combined,0.2,2,0.2,0.14987989102266225,,
4,combined,0.3,3,0.3,0.1595113199042831,,
4,combined,0.4,4,0.4,0.16087146149312223,,
4,combined,0.5,5,0.5,0.12032622070763668,,
4,combined,0.6,6,0.6,0.10173262700818911,,
4,combined,0.7,7,0.7,0.11592913815685844,,
4,combined,0.8,8,0.8,0.052564428767539126,,
4,combined,0.9,9,0.9,0.047454153060391156,,
4,training_weighted_candidate,0.0,0,0.0,0.14558216783157493,,
4,training_weighted_candidate,0.1,1,0.1,0.1501822947773918,,
4,training_weighted_candidate,0.2,2,0.2,0.14987989102266225,,
4,training_weighted_candidate,0.3,3,0.3,0.1595113199042831,,
4,training_weighted_candidate,0.4,4,0.4,0.16087146149312223,,
4,training_weighted_candidate,0.5,5,0.5,0.1541056346906613,,
4,training_weighted_candidate,0.6,6,0.6,0.17784626997278136,,
4,training_weighted_candidate,0.7,7,0.7,0.11592913815685844,,
4,training_weighted_candidate,0.8,8,0.8,0.1501666307050921,,
4,training_weighted_candidate,0.9,9,0.9,0.24265855693549707,,
4,oracle,0.0,0,0.0,0.14558216783157493,,
4,oracle,0.1,1,0.1,0.12135822365502213,,
4,oracle,0.2,2,0.2,0.10619568199496277,,
4,oracle,0.3,3,0.3,0.09355212292203931,,
4,oracle,0.4,4,0.4,0.08371055593984113,,
4,oracle,0.5,5,0.5,0.07018257305355971,,
4,oracle,0.6,6,0.6,0.06168295998714393,,
4,oracle,0.7,7,0.7,0.05475731703241979,,
4,oracle,0.8,8,0.8,0.052564428767539126,,
4,oracle,0.9,9,0.9,0.047454153060391156,,
5,random,0.0,0,0.0,0.147246221896139,0.147246221896139,0.147246221896139
5,random,0.1,1,0.1,0.1472302399070321,0.13748353635225513,0.15554007148099433
5,random,0.2,2,0.2,0.14734111702894756,0.13186078760385592,0.16406066808535957
5,random,0.3,3,0.3,0.14734292216759545,0.12188387676567973,0.16994027942588497
5,random,0.4,4,0.4,0.14736380075144553,0.11566351605163176,0.17671456196700033
5,random,0.5,5,0.5,0.14726031103120732,0.11208537160214585,0.18240707219013216
5,random,0.6,6,0.6,0.14744418356481986,0.10463090953485871,0.19462028066289982
5,random,0.7,7,0.7,0.14747267742215645,0.09009054242936454,0.20642502720054398
5,random,0.8,8,0.8,0.14738869457736117,0.07998843713925677,0.20878795906527134
5,random,0.9,9,0.9,0.14741746195128205,0.0726015756324412,0.23511039179109391
5,periodic,0.0,0,0.0,0.147246221896139,,
5,periodic,0.1,1,0.1,0.13748353635225513,,
5,periodic,0.2,2,0.2,0.14374706606552798,,
5,periodic,0.3,3,0.3,0.13956618204841714,,
5,periodic,0.4,4,0.4,0.1514554309736626,,
5,periodic,0.5,5,0.5,0.1524916957670369,,
5,periodic,0.6,6,0.6,0.13350105550781927,,
5,periodic,0.7,7,0.7,0.1602174098949273,,
5,periodic,0.8,8,0.8,0.10725239775186779,,
5,periodic,0.9,9,0.9,0.22845425680390735,,
5,ood,0.0,0,0.0,0.147246221896139,,
5,ood,0.1,1,0.1,0.13748353635225513,,
5,ood,0.2,2,0.2,0.13186078760385592,,
5,ood,0.3,3,0.3,0.13494164968875247,,
5,ood,0.4,4,0.4,0.13148018580243942,,
5,ood,0.5,5,0.5,0.12317357212586658,,
5,ood,0.6,6,0.6,0.13581657124922292,,
5,ood,0.7,7,0.7,0.15257759177375804,,
5,ood,0.8,8,0.8,0.15791477772498985,,
5,ood,0.9,9,0.9,0.08737529864607232,,
5,initial_state,0.0,0,0.0,0.147246221896139,,
5,initial_state,0.1,1,0.1,0.13748353635225513,,
5,initial_state,0.2,2,0.2,0.13186078760385592,,
5,initial_state,0.3,3,0.3,0.12845369540345952,,
5,initial_state,0.4,4,0.4,0.1356070596914332,,
5,initial_state,0.5,5,0.5,0.14066952102780378,,
5,initial_state,0.6,6,0.6,0.13258358773842882,,
5,initial_state,0.7,7,0.7,0.14765301743588097,,
5,initial_state,0.8,8,0.8,0.15052791621817427,,
5,initial_state,0.9,9,0.9,0.22845425680390735,,
5,delta,0.0,0,0.0,0.147246221896139,,
5,delta,0.1,1,0.1,0.15135194066131222,,
5,delta,0.2,2,0.2,0.1593490209132172,,
5,delta,0.3,3,0.3,0.15604666299518413,,
5,delta,0.4,4,0.4,0.15321889779683084,,
5,delta,0.5,5,0.5,0.13684059899797824,,
5,delta,0.6,6,0.6,0.13212314049581514,,
5,delta,0.7,7,0.7,0.12886311403732204,,
5,delta,0.8,8,0.8,0.07906754265402938,,
5,delta,0.9,9,0.9,0.0726015756324412,,
5,ewma,0.0,0,0.0,0.147246221896139,,
5,ewma,0.1,1,0.1,0.15135194066131222,,
5,ewma,0.2,2,0.2,0.14746274245154514,,
5,ewma,0.3,3,0.3,0.1581571948542743,,
5,ewma,0.4,4,0.4,0.1585649884955482,,
5,ewma,0.5,5,0.5,0.1556753353575971,,
5,ewma,0.6,6,0.6,0.13581657124922292,,
5,ewma,0.7,7,0.7,0.15196366211693976,,
5,ewma,0.8,8,0.8,0.18517873833760087,,
5,ewma,0.9,9,0.9,0.1419032198712944,,
5,disagreement,0.0,0,0.0,0.147246221896139,,
5,disagreement,0.1,1,0.1,0.13748353635225513,,
5,disagreement,0.2,2,0.2,0.1408821342700895,,
