experiment_key,lot_number,true_pls_mae,ood_percentile,initial_state_percentile,delta_percentile,ewma_percentile,disagreement_percentile,combined_risk,training_weighted_risk,combined_components,ood_initial_train_spearman
2024-08-21_04,9,0.09050427809899388,0.43037974683544306,0.12658227848101267,0.12857142857142856,0.5142857142857142,0.12658227848101267,0.26528028933092224,0.22400542495479203,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
2024-08-21_05,9,0.11912568242751416,0.12658227848101267,0.06329113924050633,0.2,0.3,0.9240506329113924,0.32278481012658233,0.5870253164556962,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
2024-08-21_06,9,0.09624001584148577,0.46835443037974683,0.27848101265822783,0.34285714285714286,0.42857142857142855,0.569620253164557,0.41757685352622065,0.47766726943942134,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
2024-08-21_07,9,0.11056772417642778,0.31645569620253167,0.24050632911392406,0.4714285714285714,0.12857142857142856,0.569620253164557,0.3453164556962025,0.43481012658227847,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
2024-08-21_08,9,0.04960099683411796,0.20253164556962025,0.21518987341772153,0.22857142857142856,0.0,0.4810126582278481,0.2254611211573237,0.2976491862567812,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
2024-08-21_10,9,0.05184343155309534,0.4050632911392405,0.4936708860759494,0.0,0.04285714285714286,0.8860759493670886,0.3655334538878843,0.45375226039783,"ood,initial_state,delta,ewma,disagreement",0.6079647521648243
2024-08-22_01,10,0.07326822702230844,0.9523809523809523,0.9404761904761905,0.5,0.5,0.7857142857142857,0.7357142857142857,0.6428571428571428,"ood,initial_state,delta,ewma,disagreement",0.5508735899582662
2024-08-22_02,10,0.07827819067044645,0.39285714285714285,0.39285714285714285,0.84,0.9333333333333333,0.44047619047619047,0.5999047619047619,0.6402380952380953,"ood,initial_state,delta,ewma,disagreement",0.5508735899582662
2024-08-22_03,10,0.08360327321888261,0.09523809523809523,0.05952380952380952,0.36,0.8933333333333333,0.2619047619047619,0.33399999999999996,0.310952380952381,"ood,initial_state,delta,ewma,disagreement",0.5508735899582662
2024-08-22_04,10,0.1703418815040409,0.2619047619047619,0.011904761904761904,0.10666666666666667,0.7333333333333333,0.011904761904761904,0.22514285714285714,0.05928571428571429,"ood,initial_state,delta,ewma,disagreement",0.5508735899582662
