experiment_key,lot_number,family,stage,mae,rmse,mean_error
2024-07-05_08,2,ridge,mean_shift,0.10695242622697065,0.153555799564522,0.06890054104422205
2024-07-05_08,2,ridge,full_map,0.08264852645456995,0.11624691026930069,0.06890054104421495
2024-07-05_09,2,ridge,template,0.40870178622875203,0.42761520282157567,0.40870178622876097
2024-07-05_09,2,ridge,mean_shift,0.2301816073737611,0.2521718333538555,-0.21857040494878532
2024-07-05_09,2,ridge,full_map,0.22487998811893778,0.23602591367039635,-0.21857040494879243
2024-07-05_10,2,ridge,template,0.4903276289253811,0.5117775051507701,0.4903276289253924
2024-07-05_10,2,ridge,mean_shift,0.17870291050492115,0.23104493968917852,0.17856856684539935
2024-07-05_10,2,ridge,full_map,0.17856856684538225,0.20416207195752126,0.17856856684539224
2024-07-05_01,2,pls,template,0.5909476519734955,0.6533933032096673,-0.5909476519734937
2024-07-05_01,2,pls,mean_shift,0.22393993256009065,0.35500371473556275,-0.21982710517539772
2024-07-05_01,2,pls,full_map,0.23724103858804776,0.28232684660517554,-0.21982710517539772
2024-07-05_02,2,pls,template,0.5882352924229329,0.6044792726105188,-0.5882352924229295
2024-07-05_02,2,pls,mean_shift,0.11260341128035131,0.16238546498033107,-0.08363376993195004
2024-07-05_02,2,pls,full_map,0.10174181211539275,0.13433241460676132,-0.08363376993195004
2024-07-05_03,2,pls,template,0.33805776433304563,0.34091727508115377,-0.338057764333044
2024-07-05_03,2,pls,mean_shift,0.08591339185299478,0.09208492631650551,0.08085850129587868
2024-07-05_03,2,pls,full_map,0.08721931133912372,0.1293075308720997,0.08085850129585737
2024-07-05_04,2,pls,template,0.17793549409392084,0.19950522748154673,0.17793549409392284
2024-07-05_04,2,pls,mean_shift,0.07149604120796563,0.0903284770299719,0.00423533098331319
2024-07-05_04,2,pls,full_map,0.058326754865780976,0.07531903457604758,0.004235330983306085
2024-07-05_05,2,pls,template,0.07485298184961113,0.11141938338220372,0.056873696341114055
2024-07-05_05,2,pls,mean_shift,0.09870659530817137,0.136671248034016,0.09746470325921308
2024-07-05_05,2,pls,full_map,0.09908072392702147,0.14171081547208722,0.09746470325920598
2024-07-05_06,2,pls,template,0.1843141457793142,0.22158735312189487,0.18431414577931804
2024-07-05_06,2,pls,mean_shift,0.11319101625276078,0.12957642029070174,-0.0407528890527189
2024-07-05_06,2,pls,full_map,0.0827436019780283,0.09718360621231537,-0.040752889052726005
2024-07-05_07,2,pls,template,0.3005411120714491,0.32464758908768193,0.30054111207144985
2024-07-05_07,2,pls,mean_shift,0.12845732344824967,0.1747617515866551,0.12438075720277197
2024-07-05_07,2,pls,full_map,0.12849421568720248,0.1659762846790844,0.12438075720276487
2024-07-05_08,2,pls,template,0.6336208873523479,0.6483112893609753,0.6336208873523503
2024-07-05_08,2,pls,mean_shift,0.11683532160475169,0.13824065142557004,-0.01668468408009005
2024-07-05_08,2,pls,full_map,0.059753074081492816,0.08520886136098342,-0.016684684080097156
2024-07-05_09,2,pls,template,0.40870178622875203,0.42761520282157567,0.40870178622876097
2024-07-05_09,2,pls,mean_shift,0.11509125492970008,0.13340109047260862,-0.04447740237149134
2024-07-05_09,2,pls,full_map,0.08683003089449447,0.10319392026979655,-0.04447740237149844
2024-07-05_10,2,pls,template,0.4903276289253811,0.5117775051507701,0.4903276289253924
2024-07-05_10,2,pls,mean_shift,0.11345947765753414,0.15965432427705267,0.06320183675814661
2024-07-05_10,2,pls,full_map,0.0840602541429951,0.11806678370403147,0.06320183675814661
2024-07-09_01,3,ridge,template,0.5841281042927114,0.6234476144965109,-0.5784258282915573
2024-07-09_01,3,ridge,mean_shift,0.1868276216950554,0.2370309266431216,0.045532087572212276
2024-07-09_01,3,ridge,full_map,0.07933519545120513,0.15232669664548829,0.04553208757220517
2024-07-09_02,3,ridge,template,0.5492742005185824,1.2726243555641892,-0.2971033563814416
2024-07-09_02,3,ridge,mean_shift,0.32133007023447974,1.266872517143278,0.2714104432237292
2024-07-09_02,3,ridge,full_map,0.28486435678718686,1.2734237289272858,0.2714104432237221
2024-07-09_03,3,ridge,template,0.567262906943245,0.5815672846945394,-0.5672629069432418
2024-07-09_03,3,ridge,mean_shift,0.09759551414578746,0.13324372296726356,-0.03633990474531146
2024-07-09_03,3,ridge,full_map,0.08457564559133793,0.12237431273024331,-0.03633990474531856
2024-07-09_04,3,ridge,template,0.3734651541342567,0.383855915379579,-0.3734651541342586
2024-07-09_04,3,ridge,mean_shift,0.06870904146295646,0.08871411962809965,0.0010259639459277992
2024-07-09_04,3,ridge,full_map,0.04337199840968317,0.06698698726710497,0.0010259639459277992
2024-07-09_05,3,ridge,template,0.27794605301066067,0.2829198084437817,-0.2779460530106519
2024-07-09_05,3,ridge,mean_shift,0.039947175140687005,0.05282100819122758,-0.0006702840268246746
2024-07-09_05,3,ridge,full_map,0.05126263211161035,0.0828707353389255,-0.0006702840268246746
2024-07-09_06,3,ridge,template,0.02251557188130161,0.03786491555635987,-0.015666277729756928
2024-07-09_06,3,ridge,mean_shift,0.14855476286828415,0.15250192504698548,-0.14855476286828662
2024-07-09_06,3,ridge,full_map,0.14855476286828628,0.15832471226380934,-0.1485547628682795
2024-07-09_07,3,ridge,template,0.1021006770383171,0.10812659701975304,0.09968316047249459
2024-07-09_07,3,ridge,mean_shift,0.13483777574055195,0.14119438468985981,-0.13483777574055722
2024-07-09_07,3,ridge,full_map,0.13483777574055378,0.14115314347172417,-0.134837775740543
2024-07-09_08,3,ridge,template,0.17974720541630573,0.19164827826481448,0.1797472054163194
2024-07-09_08,3,ridge,mean_shift,0.13980846711538747,0.1511622704069579,-0.1357572365941806
2024-07-09_08,3,ridge,full_map,0.13575723659418915,0.14805790544399697,-0.1357572365941806
2024-07-09_09,3,ridge,template,0.25552922788821614,0.2684531937183587,0.25552922788821775
2024-07-09_09,3,ridge,mean_shift,0.16089397165870895,0.1720630407009721,-0.1511084347838505
2024-07-09_09,3,ridge,full_map,0.15156675902989564,0.16780781082738871,-0.1511084347838505
2024-07-09_10,3,ridge,template,0.7088213627196759,0.7141550889292688,0.7088213627196822
2024-07-09_10,3,ridge,mean_shift,0.4124638245847131,0.4215639612049901,0.4124638245847194
2024-07-09_10,3,ridge,full_map,0.41246382458471104,0.41587341840060277,0.4124638245847123
2024-07-09_01,3,pls,template,0.5841281042927114,0.6234476144965109,-0.5784258282915573
2024-07-09_01,3,pls,mean_shift,0.277278824486649,0.30544708387385255,0.19795815684236118
2024-07-09_01,3,pls,full_map,0.19795815684236318,0.2583970305303794,0.19795815684235407
2024-07-09_02,3,pls,template,0.5492742005185824,1.2726243555641892,-0.2971033563814416
2024-07-09_02,3,pls,mean_shift,0.25086024237186627,1.2413440620656504,0.0981464947086863
2024-07-09_02,3,pls,full_map,0.18896325164891858,1.2527928873139884,0.09814649470869341
2024-07-09_03,3,pls,template,0.567262906943245,0.5815672846945394,-0.5672629069432418
2024-07-09_03,3,pls,mean_shift,0.17376830805552465,0.21593685632091286,-0.17376830805552856
2024-07-09_03,3,pls,full_map,0.17376830805552682,0.20559393351148347,-0.17376830805552146
2024-07-09_04,3,pls,template,0.3734651541342567,0.383855915379579,-0.3734651541342586
2024-07-09_04,3,pls,mean_shift,0.07354872044140569,0.10882099734149256,-0.06303068334570838
2024-07-09_04,3,pls,full_map,0.06303068334570855,0.08439730822996448,-0.06303068334571549
2024-07-09_05,3,pls,template,0.27794605301066067,0.2829198084437817,-0.2779460530106519
2024-07-09_05,3,pls,mean_shift,0.10967645966584587,0.11825526970440832,0.10580500549218641
