held_out_lot,family,feature,feature_group,sensor_family,importance_metric,importance,coefficient_sign,rank,top_20
1,pls,Stat3_Etch_MV_HeliumBPFlow__cycle_mean_std,G4_cycle_behavior,gas_or_backside_flow,VIP,0.6978817748356556,-1,143,False
1,pls,Stat3_Etch_MV_HeliumBPFlow__cycle_mean_slope,G4_cycle_behavior,gas_or_backside_flow,VIP,0.9584892212094501,1,78,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__active_mean,G1_level,pressure,VIP,1.0528895667973115,-1,62,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__active_std,G1_level,pressure,VIP,1.0951807555790607,1,61,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__active_range,G1_level,pressure,VIP,0.25656853720367395,1,228,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__active_slope,G2_temporal_drift,pressure,VIP,1.1452550894940234,1,52,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__early_late_delta,G2_temporal_drift,pressure,VIP,1.1184673075808136,1,57,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__long_phase_mean,G3_bosch_phase,pressure,VIP,0.9795263528587227,-1,75,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__short_phase_mean,G3_bosch_phase,pressure,VIP,1.036268437267922,-1,64,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__phase_difference,G3_bosch_phase,pressure,VIP,0.8967207396699584,-1,87,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__cycle_mean_std,G4_cycle_behavior,pressure,VIP,1.195511512243417,1,48,False
1,pls,Stat3_Etch_MV_HeliumBPPressure__cycle_mean_slope,G4_cycle_behavior,pressure,VIP,1.1433920364050363,1,53,False
1,pls,Stat3_Etch_MV_PlatenDcBias__active_mean,G1_level,rf_power_matching_electrical,VIP,0.7121750664165868,1,138,False
1,pls,Stat3_Etch_MV_PlatenDcBias__active_std,G1_level,rf_power_matching_electrical,VIP,1.570508496231376,1,25,False
1,pls,Stat3_Etch_MV_PlatenDcBias__active_range,G1_level,rf_power_matching_electrical,VIP,1.5570761244451103,1,26,False
1,pls,Stat3_Etch_MV_PlatenDcBias__active_slope,G2_temporal_drift,rf_power_matching_electrical,VIP,1.6984396363255767,1,20,True
1,pls,Stat3_Etch_MV_PlatenDcBias__early_late_delta,G2_temporal_drift,rf_power_matching_electrical,VIP,1.3376550141344248,1,40,False
1,pls,Stat3_Etch_MV_PlatenDcBias__long_phase_mean,G3_bosch_phase,rf_power_matching_electrical,VIP,0.3451378345889888,1,216,False
1,pls,Stat3_Etch_MV_PlatenDcBias__short_phase_mean,G3_bosch_phase,rf_power_matching_electrical,VIP,1.1849517865120116,1,49,False
1,pls,Stat3_Etch_MV_PlatenDcBias__phase_difference,G3_bosch_phase,rf_power_matching_electrical,VIP,1.1398713397325044,-1,54,False
1,pls,Stat3_Etch_MV_PlatenDcBias__cycle_mean_std,G4_cycle_behavior,rf_power_matching_electrical,VIP,0.6717669466904772,-1,149,False
1,pls,Stat3_Etch_MV_PlatenDcBias__cycle_mean_slope,G4_cycle_behavior,rf_power_matching_electrical,VIP,1.6855748620793867,1,22,False
1,pls,Stat3_Etch_MV_PlatenRFLoadCapacitor__active_mean,G1_level,rf_power_matching_electrical,VIP,0.61169811053593,-1,163,False
1,pls,Stat3_Etch_MV_PlatenRFLoadCapacitor__active_std,G1_level,rf_power_matching_electrical,VIP,1.0353431086562606,-1,65,False
