ablation,held_out_lot,family,training_wafers,test_wafers,retained_features,mean_parameter,mean_fitted_model,mean_inner_lot_macro_mae,residual_parameter,residual_fitted_model,residual_inner_lot_macro_rmse,residual_components,residual_explained_variance,held_out_lot_mae
family_only__remaining_process_signals,3,pls,78,10,10,2,,0.3150156155483756,1,,0.16662186710803167,3,0.9563596473865388,0.31252305058056107
family_only__remaining_process_signals,4,pls,78,10,10,2,,0.3056821944491157,1,,0.20257896467712622,3,0.9240841919375616,0.38135026826177154
family_only__remaining_process_signals,5,pls,78,10,10,2,,0.30630809326891023,1,,0.19877184358370895,3,0.9217592453861796,0.3271996184101057
family_only__remaining_process_signals,6,pls,78,10,10,4,,0.29031913572358825,2,,0.14744329086441593,3,0.9352934206888084,0.48169731151323686
family_only__remaining_process_signals,7,pls,82,6,10,4,,0.32052054232947846,1,,0.20253941978520396,3,0.9226528933479736,0.2334505622867766
family_only__remaining_process_signals,8,pls,78,10,10,2,,0.3097614098172811,1,,0.2029640538831181,3,0.9264899355054267,0.30323942207739357
family_only__remaining_process_signals,9,pls,79,9,10,1,,0.3173346184082034,1,,0.20121945780883124,3,0.9225898105347882,0.2935434519951885
family_only__remaining_process_signals,10,pls,84,4,10,1,,0.30825959292557026,1,,0.20004723998696552,3,0.9243245451313368,0.3650204479613658
family_only__rf_power_matching_electrical,1,pls,79,9,104,4,,0.1236633139941197,1,,0.1819154724101072,3,0.9637965610994957,0.20816296436727563
family_only__rf_power_matching_electrical,2,pls,78,10,104,4,,0.10893206675779246,1,,0.19657366686244257,3,0.9230020070637441,0.14154309085152542
family_only__rf_power_matching_electrical,3,pls,78,10,104,4,,0.1292090677550434,1,,0.15857754681507574,3,0.9563596473865388,0.14024877095329186
family_only__rf_power_matching_electrical,4,pls,78,10,104,4,,0.12489481630971239,1,,0.19902284326865693,3,0.9240841919375616,0.11910546114485043
family_only__rf_power_matching_electrical,5,pls,78,10,104,4,,0.13156641856274295,1,,0.19795159086757808,3,0.9217592453861796,0.11981568307005593
family_only__rf_power_matching_electrical,6,pls,78,10,104,4,,0.12975453353489957,1,,0.13998534779813038,3,0.9352934206888084,0.13073554852480135
family_only__rf_power_matching_electrical,7,pls,82,6,104,4,,0.11618055380066622,1,,0.19749115466994546,3,0.9226528933479736,0.19400610714582425
family_only__rf_power_matching_electrical,8,pls,78,10,104,4,,0.12864320770890933,1,,0.19673319871522935,3,0.9264899355054267,0.11297631896599736
family_only__rf_power_matching_electrical,9,pls,79,9,104,4,,0.13021282694907968,1,,0.194819914345023,3,0.9225898105347882,0.14208755554133437
family_only__rf_power_matching_electrical,10,pls,84,4,104,4,,0.1269289459961046,1,,0.19580313588522336,3,0.9243245451313368,0.13859749749459926
