experiment_key,test_lot,calibration_lot,nominal_coverage,X,Y,observed,predicted,absolute_error,point_half_width,point_covered,simultaneous_half_width,simultaneous_map_covered
2024-07-11_01,4,3,0.8,0.0,57000.0,40.8629,40.5012761734312,0.36162382656880254,0.5032889676412822,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,57000.0,40.8905,40.49118642442245,0.3993135755775512,0.4945076459260136,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,57000.0,41.2418,40.774932741258645,0.4668672587413525,0.490370052301472,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,57000.0,42.9534,42.3704907215987,0.5829092784013028,0.4935422453607714,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,76000.0,57000.0,50.0064,49.11199630304408,0.8944036969559193,0.7395180942670976,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,76000.0,50.0234,49.40769902445773,0.6157009755422749,0.6302142859643638,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-38000.0,76000.0,44.147,43.71243640596156,0.4345635940384369,0.5849607083993789,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,76000.0,42.2851,41.875456762074045,0.40964323792595536,0.5461167254835289,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,76000.0,41.8307,41.39983976492892,0.43086023507107996,0.5304690923046493,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,76000.0,42.226,41.74277860135381,0.48322139864618663,0.518502473917799,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,76000.0,43.9536,43.38882834825549,0.5647716517445147,0.5241595328976203,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,76000.0,49.773,48.76682699073389,1.0061730092661136,0.6731599430439132,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,95000.0,48.9785,48.3649633138852,0.6135366861147986,0.6470395678894718,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,95000.0,49.389,48.67743167913812,0.7115683208618861,0.5985517218744292,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,95000.0,49.3961,48.4512711367754,0.9448288632246005,0.6567212899435901,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,-95000.0,52.694,51.65268761202065,1.041312387979353,0.5761349979750392,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,-95000.0,52.5149,51.667749447791785,0.8471505522082126,0.6567958238786531,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,-95000.0,52.8359,51.65472492281038,1.1811750771896214,0.5945717640215733,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,-76000.0,52.408,51.54327148456614,0.8647285154338604,0.6338533873422065,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,-76000.0,46.7484,46.14799608065608,0.6004039193439183,0.6006884455517181,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,-76000.0,44.9797,44.3952760764386,0.5844239235614026,0.5608400144521042,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,-76000.0,44.5608,43.91457510099574,0.6462248990042596,0.5338710529265498,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,-76000.0,44.9461,44.208838409187265,0.7372615908127358,0.5264006018505185,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,-76000.0,46.6208,45.77258589795955,0.8482141020404512,0.5295790432721077,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,-76000.0,52.1825,51.100158780333665,1.0823412196663327,0.6160549044915058,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-76000.0,-57000.0,52.1382,51.32464254267361,0.8135574573263895,0.6404300908560501,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,-57000.0,45.0986,44.604420848183615,0.4941791518163825,0.5126249890006065,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,-57000.0,43.3276,42.85582694639643,0.47177305360357025,0.38197918994210767,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,-57000.0,42.9326,42.42112302475638,0.5114769752436175,0.46754170286146746,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,-57000.0,42.8862,42.29087631109503,0.5953236889049691,0.5161943564902671,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,-57000.0,42.9227,42.245935086734264,0.6767649132657354,0.4994599183397668,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,-57000.0,43.2654,42.49491262260245,0.7704873773975507,0.47915153652271414,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,-57000.0,44.9422,44.052041235567174,0.8901587644328259,0.4934844457558114,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,76000.0,-57000.0,51.8476,50.68338523449592,1.1642147655040773,0.6443897399675151,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-76000.0,-38000.0,46.0637,45.543256790393926,0.5204432096060714,0.6125092023941221,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,-38000.0,42.9301,42.51404329341546,0.4160567065845413,0.3098393576243623,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,-38000.0,42.465,42.020085209165444,0.4449147908345594,0.3503883714563827,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,-38000.0,42.5856,42.104289232846895,0.4813107671531043,0.4715569526384584,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,-38000.0,42.6787,42.13531198287257,0.5433880171274268,0.5218556123759583,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,-38000.0,42.5744,41.95238798471264,0.6220120152873605,0.4940325951014728,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,-38000.0,42.4243,41.70765231229577,0.7166476877042314,0.46756475251517315,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,-38000.0,42.8458,42.02843714694182,0.817362853058178,0.4732032159202504,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,76000.0,-38000.0,45.8107,44.85729526652707,0.9534047334729294,0.5097510042426592,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-95000.0,-19000.0,51.2575,50.54922851584475,0.7082714841552473,0.5418967994401243,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-76000.0,-19000.0,43.8945,43.421267867037386,0.47323213296261457,0.5131052198041033,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,-57000.0,-19000.0,42.1719,41.75804754408296,0.4138524559170378,0.31075647248389515,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-38000.0,-19000.0,42.2361,41.805062345274635,0.43103765472536537,0.3764520799139319,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,-19000.0,-19000.0,42.6147,42.11899506620369,0.4957049337963113,0.5272768670897179,True,2.634390738119265,True
2024-07-11_02,4,3,0.8,0.0,-19000.0,42.7699,42.22940353016086,0.540496469839141,0.5206838608957582,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,19000.0,-19000.0,42.5886,41.99840526999956,0.5901947300004409,0.5073667036571408,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,38000.0,-19000.0,42.193,41.52887263123956,0.6641273687604397,0.48274534738869335,False,2.634390738119265,True
2024-07-11_02,4,3,0.8,57000.0,-19000.0,42.1026,41.33541486465182,0.7671851353481856,0.4660566542106821,False,2.634390738119265,True
