experiment_key,lot_number,family,stage,mae,rmse,mean_shift_absolute_error,residual_profile_mae,residual_profile_rmse
2024-07-11_05,4,gpr,template,0.1916169701666016,0.21647899225273887,0.1907297946532346,0.07810085543013177,0.10239775152949565
2024-07-11_05,4,gpr,mean_shift,0.10216800772827886,0.13010005867662425,0.08025413228840458,0.07810085543013177,0.10239775152949565
2024-07-11_05,4,gpr,full_map,0.09880561894995023,0.12618323895349032,0.0802541322884057,0.07532267480265399,0.0973729122673689
2024-07-11_06,4,gpr,template,0.1164702440914392,0.14837236037059515,0.08789604804339442,0.09623195869556747,0.11953510806576889
2024-07-11_06,4,gpr,mean_shift,0.2719326385174346,0.29369998382376894,0.2682741851870714,0.09623195869556747,0.11953510806576889
2024-07-11_06,4,gpr,full_map,0.2682741851870721,0.29217869594453943,0.2682741851870721,0.09347963172648768,0.11574693052545368
2024-07-11_07,4,gpr,template,0.5103780705153041,0.5319436022307766,0.5103780705153041,0.1186062008889515,0.14992738606181982
2024-07-11_07,4,gpr,mean_shift,0.36048665347864184,0.38807775638869707,0.3579470965273429,0.1186062008889515,0.14992738606181982
2024-07-11_07,4,gpr,full_map,0.3744470841319572,0.4014048189322501,0.3579470965273436,0.12133662525487234,0.18165820859426388
2024-07-11_08,4,gpr,template,0.5847735761332821,0.6025525790841797,0.5847735761332821,0.1170393280193643,0.14529100184556967
2024-07-11_08,4,gpr,mean_shift,0.3142186841211143,0.3444015970748688,0.31225467946922897,0.11703932801936309,0.14529100184556967
2024-07-11_08,4,gpr,full_map,0.3291380867984216,0.36056877244682267,0.3122546794692297,0.12357021062824218,0.18029657460245105
2024-07-11_09,4,gpr,template,0.7755994188299111,0.7903539749957151,0.7755994188299111,0.12115242676603871,0.1520031160938211
2024-07-11_09,4,gpr,mean_shift,0.6755033668653623,0.6923942128214764,0.6755033668653623,0.12115242676603871,0.1520031160938211
2024-07-11_09,4,gpr,full_map,0.6755033668653632,0.690464423495414,0.6755033668653632,0.11296744341484993,0.1429556625895347
2024-07-11_10,4,gpr,template,0.3016888415342899,0.3401610633778226,0.30004660984114745,0.1285878193714664,0.16025473771831297
2024-07-11_10,4,gpr,mean_shift,0.347767224648773,0.3823852711727551,0.34718426613067616,0.128587819371467,0.16025473771831297
2024-07-11_10,4,gpr,full_map,0.3471842661306772,0.38101312821226263,0.3471842661306772,0.12731330507568683,0.15695250626032461
2024-07-19_01,5,ridge,template,0.5911991645059064,0.6351513075563439,0.5911991645059064,0.16409534991373195,0.23216531045367553
2024-07-19_01,5,ridge,mean_shift,0.2528361973090273,0.3432591936827635,0.2528361973090273,0.16409534991373195,0.23216531045367553
2024-07-19_01,5,ridge,full_map,0.25283619730903306,0.2968312947495035,0.25283619730903306,0.10868116901586872,0.15550779682374236
2024-07-19_02,5,ridge,template,0.06558046672428643,0.09016291469180654,0.005049150100835188,0.06401484078350538,0.09002142672153791
2024-07-19_02,5,ridge,mean_shift,0.17319278594067428,0.1862468916498026,0.16304615107457177,0.06401484078350538,0.09002142672153791
2024-07-19_02,5,ridge,full_map,0.17133807537114581,0.1806481214098773,0.16304615107456658,0.04894953698800839,0.07777979421859753
2024-07-19_03,5,ridge,template,0.13242362431575924,0.14127272735179489,0.13241152405646797,0.034085121989907485,0.04924603324591717
