experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-08-01_04,6,process_only_pls,mean_shift,0.2596906206293044,0.26406506276581415,-0.25969062062930703,
2024-08-01_04,6,process_only_pls,full_map,0.25969062062930626,0.26157180153592097,-0.25969062062931414,
2024-08-01_05,6,process_only_pls,template,0.02083332041844092,0.02788458817073685,-0.013984192173573717,
2024-08-01_05,6,process_only_pls,mean_shift,0.02476967626257971,0.032460087618827044,0.021717842008776245,
2024-08-01_05,6,process_only_pls,full_map,0.03846863958173917,0.06241548983282706,0.02171784200876914,
2024-08-01_06,6,process_only_pls,template,0.44784839209608784,0.4530238905002697,0.4478483920960912,
2024-08-01_06,6,process_only_pls,mean_shift,0.17468475884891552,0.1875559330841146,0.17468475884892598,
2024-08-01_06,6,process_only_pls,full_map,0.17468475884891344,0.1810353932923527,0.17468475884891177,
2024-08-01_07,6,process_only_pls,template,0.7362731111972111,1.8312969879874035,0.7362731111972067,
2024-08-01_07,6,process_only_pls,mean_shift,0.47598326717093625,1.743017680508845,0.47598326717093187,
2024-08-01_07,6,process_only_pls,full_map,0.47598326717093425,1.7411837374359944,0.47598326717093187,
2024-08-01_08,6,process_only_pls,template,0.38576636962417776,0.3977470360297743,0.38576636962417155,
2024-08-01_08,6,process_only_pls,mean_shift,0.194673085684669,0.21745027713811563,0.1946730856846628,
2024-08-01_08,6,process_only_pls,full_map,0.19467308568466726,0.2117910462740855,0.1946730856846628,
2024-08-01_09,6,process_only_pls,template,0.4784135606354135,0.4965575257501496,0.47841356063541696,
2024-08-01_09,6,process_only_pls,mean_shift,0.2743215526039614,0.30486415926163557,0.27432155260397195,
2024-08-01_09,6,process_only_pls,full_map,0.2743215526039598,0.29836015121567017,0.27432155260395774,
2024-08-01_10,6,process_only_pls,template,0.5100708640061997,0.5221130135709444,0.5100708640061953,
2024-08-01_10,6,process_only_pls,mean_shift,0.09686129792677985,0.13702340207716215,0.07965990261541123,
2024-08-01_10,6,process_only_pls,full_map,0.07965990261541363,0.09377442715544591,0.07965990261541123,
2024-08-21_01,9,process_only_pls,template,0.6472660299625472,0.6967912168738097,-0.6472660299625446,
2024-08-21_01,9,process_only_pls,mean_shift,0.22886977875741246,0.2677438085362065,0.07156857299447239,
2024-08-21_01,9,process_only_pls,full_map,0.19523474495985282,0.23016805417865802,0.07156857299447239,
2024-08-21_02,9,process_only_pls,template,0.7343615355805249,0.7694957929924533,-0.7343615355805184,
2024-08-21_02,9,process_only_pls,mean_shift,0.26406083935890423,0.350092898208214,-0.2640608393589048,
2024-08-21_02,9,process_only_pls,full_map,0.26406083935889835,0.32728050697803246,-0.2640608393588977,
2024-08-21_03,9,process_only_pls,template,0.5579929962546822,0.5854348321602433,-0.5579929962546757,
2024-08-21_03,9,process_only_pls,mean_shift,0.40122245369822396,0.438585471930886,-0.4012224536982174,
2024-08-21_03,9,process_only_pls,full_map,0.40122245369821846,0.4277126665650615,-0.4012224536982174,
2024-08-21_04,9,process_only_pls,template,0.3417705243445696,0.366335388750611,-0.341770524344561,
2024-08-21_04,9,process_only_pls,mean_shift,0.32382162536812026,0.3496497830634969,-0.32382162536811876,
2024-08-21_04,9,process_only_pls,full_map,0.3238216253681142,0.34084906257291336,-0.32382162536811165,
2024-08-21_05,9,process_only_pls,template,0.13878625468164865,0.17092173976989444,-0.13878625468164074,
2024-08-21_05,9,process_only_pls,mean_shift,0.37074226381874176,0.3839302577537405,-0.370742263818741,
2024-08-21_05,9,process_only_pls,full_map,0.3707422638187364,0.3872486878549617,-0.3707422638187339,
2024-08-21_06,9,process_only_pls,template,0.299598764044943,0.3044202137780584,0.29349576779026876,
2024-08-21_06,9,process_only_pls,mean_shift,0.10845738460427636,0.1322367164974733,-0.10466445597312202,
2024-08-21_06,9,process_only_pls,full_map,0.10832062209545544,0.27553161801733006,-0.10466445597311491,
2024-08-21_07,9,process_only_pls,template,0.14415224719101097,0.16406297359777014,0.13061823970037523,
2024-08-21_07,9,process_only_pls,mean_shift,0.14946899522000184,0.17469346178622744,-0.143743767960693,
2024-08-21_07,9,process_only_pls,full_map,0.1472082133612093,0.19644817418720026,-0.143743767960693,
2024-08-21_08,9,process_only_pls,template,0.22023471910112263,0.22668916579760076,0.21434295880150245,
2024-08-21_08,9,process_only_pls,mean_shift,0.0830276088879311,0.10349122720401,-0.07256280180616415,
2024-08-21_08,9,process_only_pls,full_map,0.07642085614003348,0.1695740023218697,-0.07256280180615704,
2024-08-21_10,9,process_only_pls,template,0.3056279775280892,0.3142080747443983,0.30094071161048674,
2024-08-21_10,9,process_only_pls,mean_shift,0.1072478508941711,0.12921299186774068,-0.09238287145060298,
2024-08-21_10,9,process_only_pls,full_map,0.10018132672605505,0.2647361899156546,-0.09238287145058877,
2024-07-05_01,2,physics_constrained_oes_v2,template,0.5936863231305692,0.6549660094525436,-0.5936863231305693,
2024-07-05_01,2,physics_constrained_oes_v2,mean_shift,0.5145637317727604,0.5842027536068314,-0.5145637317727534,
2024-07-05_01,2,physics_constrained_oes_v2,full_map,0.5598535500588969,0.5994529326671327,-0.5145637317727605,
2024-07-05_02,2,physics_constrained_oes_v2,template,0.5909739635800066,0.6082764534494368,-0.5909739635800051,
2024-07-05_02,2,physics_constrained_oes_v2,mean_shift,0.491509712779896,0.5121833811717612,-0.4915097127798944,
2024-07-05_02,2,physics_constrained_oes_v2,full_map,0.5458042466671965,0.5860542727563699,-0.4915097127798873,
2024-07-05_03,2,physics_constrained_oes_v2,template,0.3407964354901194,0.3470301832894878,-0.3407964354901196,
2024-07-05_03,2,physics_constrained_oes_v2,mean_shift,0.24914626373930535,0.25760745021528375,-0.2491462637393056,
2024-07-05_03,2,physics_constrained_oes_v2,full_map,0.2907138366616757,0.3477114514156537,-0.2491462637393056,
2024-07-05_04,2,physics_constrained_oes_v2,template,0.1820223944207679,0.203953945772453,0.17519682293684724,
