experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-07-05_03,2,gpr,mean_shift,0.12366448387549292,0.12980020684770283,0.12209241284701022,0.13168751827407918
2024-07-05_03,2,gpr,full_map,0.12226726891616962,0.13848347931017038,0.12209241284700312,0.18610687343908996
2024-07-05_04,2,gpr,template,0.17793549409392084,0.19950522748154673,0.17793549409392284,
2024-07-05_04,2,gpr,mean_shift,0.0682310871607545,0.09207066447699797,0.018322432240836406,0.13298847450638
2024-07-05_04,2,gpr,full_map,0.06420292752082454,0.09565267371657853,0.0183224322408293,0.1884470935153995
2024-07-05_05,2,gpr,template,0.07485298184961113,0.11141938338220372,0.056873696341114055,
2024-07-05_05,2,gpr,mean_shift,0.08655103760808226,0.1258426696645561,0.08158869928202961,0.1213728655600317
2024-07-05_05,2,gpr,full_map,0.08367375021432134,0.12324397873084204,0.0815886992820225,0.1749546582321209
2024-07-05_06,2,gpr,template,0.1843141457793142,0.22158735312189487,0.18431414577931804,
2024-07-05_06,2,gpr,mean_shift,0.08994131855799976,0.12829033852391114,0.036457649805917924,0.12071982872120411
2024-07-05_06,2,gpr,full_map,0.053547441815692674,0.0842674573879818,0.036457649805917924,0.1744010464624569
2024-07-05_07,2,gpr,template,0.3005411120714491,0.32464758908768193,0.30054111207144985,
2024-07-05_07,2,gpr,mean_shift,0.1679966720506864,0.207660085120185,0.16748616031428298,0.11974565602424826
2024-07-05_07,2,gpr,full_map,0.16748616031427588,0.1887604290135742,0.16748616031427588,0.17265315782932025
2024-07-05_08,2,gpr,template,0.6336208873523479,0.6483112893609753,0.6336208873523503,
2024-07-05_08,2,gpr,mean_shift,0.10712864320278119,0.1395545430442974,0.025364768096501678,0.139945611291116
2024-07-05_08,2,gpr,full_map,0.08077473327080785,0.15476459682714416,0.025364768096494572,0.19522778182467065
2024-07-05_09,2,gpr,template,0.40870178622875203,0.42761520282157567,0.40870178622876097,
2024-07-05_09,2,gpr,mean_shift,0.09685853517810472,0.14042132007997896,0.06245426739175031,0.13360416401432706
