experiment_key,samples,median_step_seconds,maximum_gap_seconds,active_maximum_gap_seconds,active_duration_seconds,detected_cycles,long_phase_sample_fraction,short_phase_sample_fraction
2024-07-19_08,3247.0,0.20000004768371582,41.71000003814697,0.21000003814697266,598.0,100.0,0.7345369441658308,0.2654630558341692
2024-07-19_09,3195.0,0.20000004768371582,41.359999895095825,0.20000004768371582,602.2000000476837,100.0,0.7317397078353254,0.2682602921646746
2024-07-19_10,3245.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7315279170845871,0.2684720829154129
2024-08-01_01,3299.0,0.20000004768371582,41.61999988555908,0.20000004768371582,595.0,99.0,0.730510752688172,0.26948924731182794
2024-08-01_02,3246.0,0.20000004768371582,41.88000011444092,0.20000004768371582,597.7999999523163,100.0,0.7347826086956522,0.26521739130434785
2024-08-01_03,3247.0,0.20000004768371582,41.420000076293945,0.20000004768371582,598.0,100.0,0.7318622534269476,0.2681377465730525
2024-08-01_04,3247.0,0.20000004768371582,41.49000000953674,0.20000004768371582,598.0,100.0,0.7335339351387495,0.2664660648612504
2024-08-01_05,3246.0,0.20000004768371582,41.109999895095825,0.20000004768371582,598.0,100.0,0.7321965897693079,0.2678034102306921
2024-08-01_06,3297.0,0.20000004768371582,41.52999997138977,0.20000004768371582,594.7999999523163,99.0,0.733109243697479,0.266890756302521
2024-08-01_07,3298.0,0.20000004768371582,41.78999996185303,0.20000004768371582,594.7999999523163,99.0,0.7327731092436974,0.2672268907563025
2024-08-01_08,3246.0,0.20000004768371582,41.360000133514404,0.20000004768371582,598.0,100.0,0.7362086258776329,0.2637913741223671
2024-08-01_09,3245.0,0.20000004768371582,41.37000012397766,0.20000004768371582,597.7999999523163,100.0,0.7311036789297659,0.2688963210702341
2024-08-01_10,3245.0,0.20000004768371582,0.20000004768371582,0.20000004768371582,598.0,100.0,0.7375459712470745,0.26245402875292545
2024-08-05_01,3245.0,0.20000004768371582,41.829999923706055,0.20000004768371582,597.8000001907349,100.0,0.7347826086956522,0.26521739130434785
2024-08-05_02,3247.0,0.20000004768371582,41.46000003814697,0.21000003814697266,598.0,100.0,0.7345369441658308,0.2654630558341692
2024-08-05_03,3299.0,0.20000004768371582,41.60000014305115,0.20000004768371582,595.0,99.0,0.7335349462365591,0.2664650537634409
2024-08-05_04,3247.0,0.20000004768371582,41.42999982833862,0.20000004768371582,598.0,100.0,0.7328652624540287,0.2671347375459712
2024-08-05_05,3247.0,0.20000004768371582,41.72000002861023,0.20000004768371582,598.0,100.0,0.7365429622199933,0.2634570377800067
2024-08-05_06,3247.0,0.20000004768371582,41.200000047683716,0.20000004768371582,598.0,100.0,0.7342026078234705,0.2657973921765296
