lot_number,policy,requested_budget,selected_wafers,actual_metrology_fraction,retained_mae,random_p025,random_p975
4,ewma,0.2,2,0.2,0.1428055210241278,,
4,ewma,0.3,3,0.3,0.14997426620782223,,
4,ewma,0.4,4,0.4,0.1366232331457452,,
4,ewma,0.5,5,0.5,0.12772483478840968,,
4,ewma,0.6,6,0.6,0.14554194835200246,,
4,ewma,0.7,7,0.7,0.0732205817009935,,
4,ewma,0.8,8,0.8,0.05923661464965008,,
4,ewma,0.9,9,0.9,0.04911779413930465,,
4,disagreement,0.0,0,0.0,0.13620773245565895,,
4,disagreement,0.1,1,0.1,0.1458843922685872,,
4,disagreement,0.2,2,0.2,0.11880668526403197,,
4,disagreement,0.3,3,0.3,0.12092513146819048,,
4,disagreement,0.4,4,0.4,0.12421456741227549,,
4,disagreement,0.5,5,0.5,0.13053261994707727,,
4,disagreement,0.6,6,0.6,0.1458269161438477,,
4,disagreement,0.7,7,0.7,0.1558840233489153,,
4,disagreement,0.8,8,0.8,0.1187858027332307,,
4,disagreement,0.9,9,0.9,0.056456380534038605,,
4,combined,0.0,0,0.0,0.13620773245565895,,
4,combined,0.1,1,0.1,0.1397888625246297,,
4,combined,0.2,2,0.2,0.1456844322479251,,
4,combined,0.3,3,0.3,0.14997426620782223,,
4,combined,0.4,4,0.4,0.1145523025249544,,
4,combined,0.5,5,0.5,0.1172250598692092,,
4,combined,0.6,6,0.6,0.10125251860340581,,
4,combined,0.7,7,0.7,0.11188487975120925,,
4,combined,0.8,8,0.8,0.05278708733667163,,
4,combined,0.9,9,0.9,0.04911779413930465,,
4,oracle,0.0,0,0.0,0.13620773245565895,,
4,oracle,0.1,1,0.1,0.11106347513906227,,
4,oracle,0.2,2,0.2,0.09618635145890948,,
4,oracle,0.3,3,0.3,0.08405365524840759,,
4,oracle,0.4,4,0.4,0.07878666536836801,,
4,oracle,0.5,5,0.5,0.07374848607505713,,
4,oracle,0.6,6,0.6,0.06688847864290132,,
4,oracle,0.7,7,0.7,0.05830986994444625,,
4,oracle,0.8,8,0.8,0.05278708733667163,,
4,oracle,0.9,9,0.9,0.04911779413930465,,
5,random,0.0,0,0.0,0.1450015025081795,0.14500150250817948,0.14500150250817948
5,random,0.1,1,0.1,0.14500363457683468,0.13376422290782639,0.15343273136160138
5,random,0.2,2,0.2,0.14508433344634283,0.12740788347306448,0.16284348200651294
5,random,0.3,3,0.3,0.14507730194751697,0.11921355242700893,0.16657114722398814
5,random,0.4,4,0.4,0.14508978640276676,0.11368714603569491,0.17253445408253276
5,random,0.5,5,0.5,0.14500621190694582,0.1075504751454363,0.18488369656693618
5,random,0.6,6,0.6,0.1451550281711355,0.10370207514664948,0.19311126497674158
5,random,0.7,7,0.7,0.14518485551752902,0.09203448880835324,0.2036557490177969
5,random,0.8,8,0.8,0.1451031609556655,0.07363358451484554,0.2153759786486394
5,random,0.9,9,0.9,0.14533665335804616,0.06912044282738238,0.24613701891135728
5,periodic,0.0,0,0.0,0.14500150250817948,,
5,periodic,0.1,1,0.1,0.13376422290782639,,
5,periodic,0.2,2,0.2,0.1407164099960161,,
5,periodic,0.3,3,0.3,0.14084481293149742,,
5,periodic,0.4,4,0.4,0.14994765588775194,,
5,periodic,0.5,5,0.5,0.15290184382345876,,
5,periodic,0.6,6,0.6,0.13487414510572676,,
5,periodic,0.7,7,0.7,0.16607314552558108,,
5,periodic,0.8,8,0.8,0.1107022357015941,,
5,periodic,0.9,9,0.9,0.2250126386943867,,
5,ood,0.0,0,0.0,0.14500150250817948,,
5,ood,0.1,1,0.1,0.13376422290782639,,
5,ood,0.2,2,0.2,0.12740788347306448,,
5,ood,0.3,3,0.3,0.1272038243413067,,
5,ood,0.4,4,0.4,0.1222503114291521,,
5,ood,0.5,5,0.5,0.13287628514950606,,
5,ood,0.6,6,0.6,0.1311409590749709,,
5,ood,0.7,7,0.7,0.1488057033658583,,
5,ood,0.8,8,0.8,0.18469156959068733,,
5,ood,0.9,9,0.9,0.144370500486988,,
5,delta,0.0,0,0.0,0.14500150250817948,,
5,delta,0.1,1,0.1,0.1467976364096029,,
5,delta,0.2,2,0.2,0.15537900018551465,,
5,delta,0.3,3,0.3,0.14241356893896567,,
5,delta,0.4,4,0.4,0.13538000736447306,,
5,delta,0.5,5,0.5,0.13449249094783833,,
5,delta,0.6,6,0.6,0.12888438823123932,,
5,delta,0.7,7,0.7,0.12372235081265644,,
5,delta,0.8,8,0.8,0.0730772068717913,,
5,delta,0.9,9,0.9,0.07703397091620022,,
5,ewma,0.0,0,0.0,0.14500150250817948,,
5,ewma,0.1,1,0.1,0.1467976364096029,,
5,ewma,0.2,2,0.2,0.13438021359688357,,
5,ewma,0.3,3,0.3,0.1272038243413067,,
5,ewma,0.4,4,0.4,0.13556546657882448,,
5,ewma,0.5,5,0.5,0.13129357953174248,,
5,ewma,0.6,6,0.6,0.12916257705276643,,
5,ewma,0.7,7,0.7,0.14616786066958568,,
5,ewma,0.8,8,0.8,0.18469156959068733,,
5,ewma,0.9,9,0.9,0.144370500486988,,
5,disagreement,0.0,0,0.0,0.14500150250817948,,
5,disagreement,0.1,1,0.1,0.1467976364096029,,
5,disagreement,0.2,2,0.2,0.13438021359688357,,
5,disagreement,0.3,3,0.3,0.13295302975544007,,
5,disagreement,0.4,4,0.4,0.12895771774564105,,
5,disagreement,0.5,5,0.5,0.11782627361758494,,
5,disagreement,0.6,6,0.6,0.13000273131513557,,
5,disagreement,0.7,7,0.7,0.14728806635274452,,
5,disagreement,0.8,8,0.8,0.15102330480529347,,
5,disagreement,0.9,9,0.9,0.07703397091620022,,
5,combined,0.0,0,0.0,0.14500150250817948,,
5,combined,0.1,1,0.1,0.13376422290782639,,
5,combined,0.2,2,0.2,0.13438021359688357,,
5,combined,0.3,3,0.3,0.1272038243413067,,
5,combined,0.4,4,0.4,0.1222503114291521,,
5,combined,0.5,5,0.5,0.1310710284745208,,
5,combined,0.6,6,0.6,0.12888438823123932,,
5,combined,0.7,7,0.7,0.1488057033658583,,
5,combined,0.8,8,0.8,0.18469156959068733,,
5,combined,0.9,9,0.9,0.2250126386943867,,
5,oracle,0.0,0,0.0,0.14500150250817948,,
5,oracle,0.1,1,0.1,0.13376422290782639,,
5,oracle,0.2,2,0.2,0.12235817093450632,,
5,oracle,0.3,3,0.3,0.11346434701287557,,
5,oracle,0.4,4,0.4,0.10622092121264909,,
5,oracle,0.5,5,0.5,0.09859100535778133,,
5,oracle,0.6,6,0.6,0.08828435933531499,,
5,oracle,0.7,7,0.7,0.07476704664863043,,
5,oracle,0.8,8,0.8,0.0730772068717913,,
5,oracle,0.9,9,0.9,0.06912044282738238,,
6,random,0.0,0,0.0,0.15094855628641013,0.15094855628641013,0.15094855628641013
6,random,0.1,1,0.1,0.1507983793026298,0.1231836951406085,0.16107951295033435
6,random,0.2,2,0.2,0.1506846042104066,0.11025803479083912,0.17327673416321013
6,random,0.3,3,0.3,0.15096011222147845,0.10198738362447217,0.18650246176058466
6,random,0.4,4,0.4,0.15127521411993994,0.0853969397572638,0.20313597732615876
6,random,0.5,5,0.5,0.15122907609674385,0.07609676865783882,0.22177284475973988
6,random,0.6,6,0.6,0.1507204079453014,0.07251266949645446,0.24927598108012963
6,random,0.7,7,0.7,0.15062570660613947,0.06798944351333616,0.2649845783192823
6,random,0.8,8,0.8,0.15048537129272768,0.06163584477921008,0.3137106422686941
6,random,0.9,9,0.9,0.1515092247320633,0.05976994631109198,0.40083230659862484
6,periodic,0.0,0,0.0,0.15094855628641013,,
6,periodic,0.1,1,0.1,0.15875432465361256,,
6,periodic,0.2,2,0.2,0.17081579276143308,,
6,periodic,0.3,3,0.3,0.18274354731276787,,
6,periodic,0.4,4,0.4,0.13875288402676986,,
6,periodic,0.5,5,0.5,0.1637205156559317,,
6,periodic,0.6,6,0.6,0.17105303738632838,,
6,periodic,0.7,7,0.7,0.08588737276425502,,
6,periodic,0.8,8,0.8,0.23030112645485842,,
6,periodic,0.9,9,0.9,0.13439042873434492,,
6,ood,0.0,0,0.0,0.15094855628641013,,
6,ood,0.1,1,0.1,0.1527883482366396,,
6,ood,0.2,2,0.2,0.1435632695238741,,
6,ood,0.3,3,0.3,0.15500063042052353,,
6,ood,0.4,4,0.4,0.16738462866034606,,
6,ood,0.5,5,0.5,0.13937754239399888,,
6,ood,0.6,6,0.6,0.15865628304473653,,
6,ood,0.7,7,0.7,0.07793094186010709,,
6,ood,0.8,8,0.8,0.08701143963461465,,
6,ood,0.9,9,0.9,0.08670136836714001,,
6,delta,0.0,0,0.0,0.15094855628641013,,
6,delta,0.1,1,0.1,0.15875432465361256,,
6,delta,0.2,2,0.2,0.1706608973293981,,
6,delta,0.3,3,0.3,0.18614637126344805,,
6,delta,0.4,4,0.4,0.15036538204091862,,
6,delta,0.5,5,0.5,0.16848446918688392,,
6,delta,0.6,6,0.6,0.17700797930001866,,
6,delta,0.7,7,0.7,0.13353728573599757,,
6,delta,0.8,8,0.8,0.1566451731529517,,
6,delta,0.9,9,0.9,0.08670136836714001,,
6,ewma,0.0,0,0.0,0.15094855628641013,,
6,ewma,0.1,1,0.1,0.15875432465361256,,
6,ewma,0.2,2,0.2,0.1706608973293981,,
6,ewma,0.3,3,0.3,0.15112387409187183,,
6,ewma,0.4,4,0.4,0.109505802007413,,
6,ewma,0.5,5,0.5,0.11895444645068594,,
6,ewma,0.6,6,0.6,0.11509545087977119,,
6,ewma,0.7,7,0.7,0.07793094186010709,,
6,ewma,0.8,8,0.8,0.08701143963461465,,
6,ewma,0.9,9,0.9,0.08670136836714001,,
6,disagreement,0.0,0,0.0,0.15094855628641013,,
6,disagreement,0.1,1,0.1,0.16066486884630812,,
6,disagreement,0.2,2,0.2,0.1639491738603035,,
6,disagreement,0.3,3,0.3,0.1758423928429771,,
6,disagreement,0.4,4,0.4,0.16738462866034606,,
6,disagreement,0.5,5,0.5,0.1206950930726903,,
6,disagreement,0.6,6,0.6,0.1353032213931008,,
6,disagreement,0.7,7,0.7,0.1604809797537704,,
6,disagreement,0.8,8,0.8,0.1973707854470856,,
6,disagreement,0.9,9,0.9,0.30742005999208194,,
6,combined,0.0,0,0.0,0.15094855628641013,,
6,combined,0.1,1,0.1,0.16066486884630812,,
6,combined,0.2,2,0.2,0.1706608973293981,,
6,combined,0.3,3,0.3,0.1758423928429771,,
6,combined,0.4,4,0.4,0.19477236168496523,,
6,combined,0.5,5,0.5,0.18840903843420562,,
6,combined,0.6,6,0.6,0.1353032213931008,,
6,combined,0.7,7,0.7,0.07793094186010709,,
6,combined,0.8,8,0.8,0.08701143963461465,,
6,combined,0.9,9,0.9,0.08670136836714001,,
6,oracle,0.0,0,0.0,0.15094855628641013,,
6,oracle,0.1,1,0.1,0.1231836951406085,,
6,oracle,0.2,2,0.2,0.1001541495341743,,
