stage,X,Y,coordinate_mae
oracle_true_mean_pca_reconstruction,19000.0,-76000.0,0.03049991241958271
oracle_true_mean_pca_reconstruction,19000.0,-57000.0,0.02367852669630296
oracle_true_mean_pca_reconstruction,19000.0,-38000.0,0.01934049420486581
oracle_true_mean_pca_reconstruction,19000.0,-19000.0,0.02319147785730151
oracle_true_mean_pca_reconstruction,19000.0,0.0,0.02555961343523482
oracle_true_mean_pca_reconstruction,19000.0,19000.0,0.022015715959055836
oracle_true_mean_pca_reconstruction,19000.0,38000.0,0.013250468814382592
oracle_true_mean_pca_reconstruction,19000.0,57000.0,0.01327969971360437
oracle_true_mean_pca_reconstruction,19000.0,76000.0,0.0224070148338789
oracle_true_mean_pca_reconstruction,19000.0,95000.0,0.08517700234347023
oracle_true_mean_pca_reconstruction,38000.0,-76000.0,0.05200133091875969
oracle_true_mean_pca_reconstruction,38000.0,-57000.0,0.042518610562589536
oracle_true_mean_pca_reconstruction,38000.0,-38000.0,0.03614199081630625
oracle_true_mean_pca_reconstruction,38000.0,-19000.0,0.02908062516447166
oracle_true_mean_pca_reconstruction,38000.0,0.0,0.025401022567093937
oracle_true_mean_pca_reconstruction,38000.0,19000.0,0.026715556295238908
oracle_true_mean_pca_reconstruction,38000.0,38000.0,0.01958846097693101
oracle_true_mean_pca_reconstruction,38000.0,57000.0,0.021506675272004925
oracle_true_mean_pca_reconstruction,38000.0,76000.0,0.03912188364962634
oracle_true_mean_pca_reconstruction,57000.0,-76000.0,0.09362696005961203
oracle_true_mean_pca_reconstruction,57000.0,-57000.0,0.06257968785729022
oracle_true_mean_pca_reconstruction,57000.0,-38000.0,0.05076816859585536
oracle_true_mean_pca_reconstruction,57000.0,-19000.0,0.04349627083303047
oracle_true_mean_pca_reconstruction,57000.0,0.0,0.03540856676128494
oracle_true_mean_pca_reconstruction,57000.0,19000.0,0.032371915620200316
oracle_true_mean_pca_reconstruction,57000.0,38000.0,0.03850982191592686
oracle_true_mean_pca_reconstruction,57000.0,57000.0,0.04412855248794909
oracle_true_mean_pca_reconstruction,57000.0,76000.0,0.1021908620375224
oracle_true_mean_pca_reconstruction,76000.0,-57000.0,0.10226391118778681
oracle_true_mean_pca_reconstruction,76000.0,-38000.0,0.07353292130456378
oracle_true_mean_pca_reconstruction,76000.0,-19000.0,0.06248252197833666
oracle_true_mean_pca_reconstruction,76000.0,0.0,0.05402681926361415
oracle_true_mean_pca_reconstruction,76000.0,19000.0,0.04886431669563208
oracle_true_mean_pca_reconstruction,76000.0,38000.0,0.06136721450675116
oracle_true_mean_pca_reconstruction,76000.0,57000.0,0.10411650377216532
oracle_true_mean_pca_reconstruction,95000.0,-19000.0,0.13856815629310895
oracle_true_mean_pca_reconstruction,95000.0,0.0,0.10955246968925068
oracle_true_mean_pca_reconstruction,95000.0,19000.0,0.1505070200282412
oracle_true_mean_zero_residual,-95000.0,-19000.0,0.16938158158637506
oracle_true_mean_zero_residual,-95000.0,0.0,0.21887321857961856
oracle_true_mean_zero_residual,-95000.0,19000.0,0.20702237014277472
oracle_true_mean_zero_residual,-76000.0,-57000.0,0.17626138721204326
oracle_true_mean_zero_residual,-76000.0,-38000.0,0.3660181731116455
