experiment_key,lot_number,stage,full_map_mae,full_map_rmse,mean_shift_absolute_error,mean_centered_residual_mae,mean_centered_residual_rmse,spatial_correlation_after_mean_removal,center_mean_error,middle_zone_mean_error,edge_mean_error,center_to_edge_difference_error,map_standard_deviation_error,map_range_error,worst_point_absolute_error,p95_point_absolute_error
2024-07-02_05,1,full_map,0.17476120752299878,0.20970205231533065,0.05738863620442027,0.17059674183931486,0.20169654231012082,0.9983947340206871,0.04652045316674247,0.055788547346402595,0.06013125419219989,0.01361080102545742,0.008586852938267331,0.18858316682476328,0.6455723311780233,0.34372963671407036
2024-07-02_05,1,mean_shift,0.17318301537749226,0.2044856988611191,0.057388636204412764,0.16657461291008144,0.19626753545433295,0.9985289043805344,0.07326707454888748,0.07715220113117027,0.043998525376537145,0.029268549172350333,0.03251415688963144,0.2547974683544396,0.5551974542957154,0.330312419122005
2024-07-02_05,1,oracle_true_mean_pca_reconstruction,0.15715231938177152,0.18583529149541408,2.075742823568832e-15,0.15715231938177174,0.18583529149541408,0.9986925740233892,0.026274447914964583,0.027890376962403707,0.019565395888108128,0.04583984380307271,0.034886292349300074,0.26973207574003055,0.3958568251677974,0.32962200178094875
2024-07-02_05,1,oracle_true_mean_zero_residual,0.1665746129100815,0.19626753545433293,9.26100644361479e-15,0.16657461291008144,0.19626753545433295,0.9985289043805344,0.01587843834446545,0.019763564926748245,0.013390110827884882,0.029268549172350333,0.03251415688963144,0.2547974683544396,0.4978088180912934,0.3524635869719957
2024-07-02_05,1,template,0.20160459394111668,0.25271319665173775,0.15919489404067594,0.16657461291008144,0.19626753545433295,0.9985289043805344,0.14331645569620122,0.13943132911391842,0.17258500486853023,0.029268549172329017,0.03251415688963144,0.2547974683544396,0.5482291139240445,0.4907625316455763
2024-07-02_06,1,full_map,0.18432686356993241,0.22263329236851315,0.11473500677435575,0.1585930893025991,0.19079166934468705,0.9986200027992468,0.1365592804117881,0.13465118019479405,0.10023363526457274,0.03632564514721537,0.036009002739450846,0.15017721762710323,0.6329645528014183,0.3794808572576713
2024-07-02_06,1,mean_shift,0.1843469212150165,0.22262588406867975,0.11473500677434824,0.15857284385841833,0.1907830246060993,0.99862085647602,0.13680982464440916,0.1348513004330485,0.10008251478829777,0.03672730985611139,0.03623352379913625,0.15079746835444752,0.6321179821690208,0.37937215938423063
2024-07-02_06,1,oracle_true_mean_pca_reconstruction,0.14887523950890816,0.1773175608357672,2.1555790860137872e-15,0.14887523950890816,0.1773175608357672,0.9987800919716003,0.016544428175350845,0.015371372150646323,0.011140351419143713,0.027684779594494557,0.02286666896631928,0.12488364838778665,0.5086698836633943,0.28997515716764183
2024-07-02_06,1,oracle_true_mean_zero_residual,0.15857284385841808,0.1907830246060993,4.87001200914226e-15,0.15857284385841833,0.1907830246060993,0.99862085647602,0.02207481787005605,0.02011629365870249,0.014652491986041127,0.03672730985609718,0.03623352379913625,0.15079746835444752,0.5373182904281038,0.35428563220025205
2024-07-02_06,1,template,0.15854157303370744,0.19078947664892776,0.0015690513440467086,0.15857284385841833,0.1907830246060993,0.99862085647602,0.020505766526014213,0.018547242314653545,0.01622154333007586,0.036727309856090073,0.03623352379913625,0.15079746835444752,0.5388873417721456,0.3558546835442939
2024-07-02_08,1,full_map,0.08580213990970464,0.11607425287411134,0.030371424034435462,0.08461144894292212,0.11203039222641176,0.9995346965369996,0.0008718592497274358,0.012367834186598259,0.045171358626781455,0.04429949937705402,0.03036490637302336,0.21915893878352222,0.4067049959420217,0.23545990193517088
2024-07-02_08,1,mean_shift,0.09347286571460021,0.12479755157862368,0.030371424034442887,0.09502184483163681,0.12104546865595302,0.9995860882299107,0.03771999808030557,0.018457108789590393,0.06844876476725403,0.1061687628475596,0.06486200266691755,0.3146974683544528,0.4270953324400679,0.28050488927283507
2024-07-02_08,1,oracle_true_mean_pca_reconstruction,0.07623688840021786,0.09600417890471759,1.037871411784416e-15,0.07623688840021786,0.09600417890471759,0.9996353961670915,0.016713384952907973,0.007838938040130472,0.0071136678788548124,0.023827052831762785,0.012291346132315084,0.17598080552835427,0.2979062490591744,0.18258434920200697
2024-07-02_08,1,oracle_true_mean_zero_residual,0.09502184483163545,0.12104546865595302,8.063462506940464e-15,0.09502184483163681,0.12104546865595302,0.9995860882299107,0.0680914221147404,0.048828532824011006,0.03807734073281921,0.1061687628475596,0.06486200266691755,0.3146974683544528,0.3967239084056331,0.26242036410186237
2024-07-02_08,1,template,0.4813634333665187,0.49634943383118935,0.4813634333665187,0.09502184483163681,0.12104546865595302,0.9995860882299107,0.41327201125177027,0.43253490054249255,0.5194407740993157,0.1061687628475454,0.06486200266691755,0.3146974683544528,0.8780873417721438,0.7190374683544432
2024-07-02_09,1,full_map,0.14236900698813668,0.17523344892270046,0.04327998079682101,0.13937877171104818,0.16980460795741517,0.9988434421950138,0.049263476083716284,0.03689236662839335,0.04568386039553474,0.0035796156881815477,0.005228402830477208,0.09844904969745016,0.6860864627352186,0.2807806649298669
2024-07-02_09,1,mean_shift,0.14330620581506626,0.1698512873697479,0.04327998079681374,0.135084548524272,0.16424464400213515,0.9990459377179944,0.11464056645714749,0.08911180415053366,0.006250436088194533,0.10839013036895295,0.053108012155053785,0.26029746835444456,0.4651820573150829,0.27199066491003804
2024-07-02_09,1,oracle_true_mean_pca_reconstruction,0.1263848061940431,0.14956222321387794,3.113614235353248e-15,0.1263848061940431,0.14956222321387794,0.9991197868384388,0.039508528673081855,0.02047369544803246,0.01786231212697942,0.057370840800061274,0.01744958236761418,0.16855725353187978,0.38576719292058215,0.2478918444866863
