test_lot,mode,feedback,policy,budget,total_system_mae,unmeasured_wafer_mae,measured_fraction,high_error_capture,p95_system_error,cumulative_system_error,updates,update_runtime_seconds,drift_error_threshold,drift_onset_wafer_order,recovery_wafer_count,random_replicates
4,direct_substitution,F0,no_metrology,0.1,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,no_metrology,0.2,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,no_metrology,0.3,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,no_metrology,0.5,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,ood,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,ood,0.1,0.22599019366483725,0.2511002151831525,0.1,0.0,0.3823129588374182,2.2599019366483724,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,ood,0.2,0.21307554879170923,0.26634443598963653,0.2,0.0,0.3823129588374182,2.1307554879170922,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,ood,0.3,0.18597535322812747,0.2656790760401821,0.3,0.0,0.3823129588374182,1.8597535322812748,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,ood,0.5,0.11479697062771144,0.22959394125542287,0.5,0.5,0.3229675291781192,1.1479697062771144,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,oracle,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,oracle,0.1,0.20757909975301714,0.23064344417001903,0.1,0.5,0.3260097400793488,2.0757909975301714,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,oracle,0.2,0.17212670063588292,0.21515837579485367,0.2,1.0,0.27142556126218426,1.7212670063588291,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,oracle,0.3,0.14301080176141387,0.2043011453734484,0.3,1.0,0.23620917658765497,1.4301080176141387,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,oracle,0.5,0.11442667704647635,0.2288533540929527,0.5,0.5,0.32130120806256124,1.1442667704647635,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,periodic,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,periodic,0.1,0.22599019366483725,0.2511002151831525,0.1,0.0,0.3823129588374182,2.2599019366483724,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,periodic,0.2,0.20372566780532503,0.2546570847566563,0.2,0.0,0.3823129588374182,2.03725667805325,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,periodic,0.3,0.174609768930856,0.24944252704408004,0.3,0.0,0.3823129588374182,1.74609768930856,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,periodic,0.5,0.12888682311975647,0.25777364623951293,0.5,0.0,0.3823129588374182,1.2888682311975648,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,random,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,100
4,direct_substitution,F0,random,0.1,0.22420976497089168,0.24912196107876852,0.1,0.05,0.37779419566825434,2.2420976497089167,0.0,0.0,0.186147802036805,1.0,3.0,100
4,direct_substitution,F0,random,0.2,0.1982819646966552,0.24785245587081903,0.2,0.22,0.3645039748997958,1.9828196469665522,0.0,0.0,0.186147802036805,1.0,3.0,100
