mode,feedback,policy,budget,lot_macro_system_mae,lot_macro_unmeasured_mae,mean_measured_fraction,mean_high_error_capture,worst_lot_mae,mean_p95_system_error,cumulative_error,mean_updates,mean_update_runtime_seconds,mean_recovery_wafer_count
direct_substitution,F0,disagreement,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,disagreement,0.1,0.1491286573376356,0.16598262918442194,0.09682539682539683,0.07142857142857142,0.22599019366483725,0.3079375824068026,9.199811697836068,0.0,0.0,2.0
direct_substitution,F0,disagreement,0.2,0.13480574203890824,0.1687158972973398,0.20555555555555555,0.21428571428571427,0.21307554879170923,0.2972909282032963,8.481644342633002,0.0,0.0,2.0
direct_substitution,F0,disagreement,0.3,0.11275538158186763,0.1617980538268986,0.30238095238095236,0.21428571428571427,0.18597535322812747,0.2731777477800755,6.888859403779578,0.0,0.0,2.0
direct_substitution,F0,disagreement,0.5,0.06927496523611629,0.13678822200111324,0.4920634920634921,0.5714285714285714,0.11479697062771144,0.19123508288566682,4.3223761421001665,0.0,0.0,2.0
direct_substitution,F0,no_metrology,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,no_metrology,0.1,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,no_metrology,0.2,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,no_metrology,0.3,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,no_metrology,0.5,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,ood,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,ood,0.1,0.15124399511010628,0.1683413675885,0.09682539682539683,0.07142857142857142,0.22599019366483725,0.3079375824068026,9.34367033883724,0.0,0.0,2.0
direct_substitution,F0,ood,0.2,0.14283638981136026,0.17900481309313582,0.20555555555555555,0.0,0.21307554879170923,0.3401358298846295,8.87672918577495,0.0,0.0,2.0
direct_substitution,F0,ood,0.3,0.11652727458937517,0.16718647240905224,0.30238095238095236,0.21428571428571427,0.18597535322812747,0.2964262456820568,7.152891914305107,0.0,0.0,2.0
direct_substitution,F0,ood,0.5,0.08181253750822046,0.16180738392741992,0.4920634920634921,0.5,0.120017060483362,0.24858519954557776,5.1980468095209,0.0,0.0,2.0
direct_substitution,F0,oracle,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,oracle,0.1,0.13903806363372032,0.1543581522908458,0.09682539682539683,0.42857142857142855,0.20757909975301714,0.28665479707472624,8.626084341749767,0.0,0.0,2.0
direct_substitution,F0,oracle,0.2,0.11417920871045541,0.14311099212940462,0.20555555555555555,0.6428571428571429,0.17212670063588292,0.24414030067468073,7.143517004365821,0.0,0.0,2.0
direct_substitution,F0,oracle,0.3,0.09450603831950341,0.13526290651789324,0.30238095238095236,0.7857142857142857,0.14301080176141387,0.21515626486338943,5.784702633758431,0.0,0.0,2.0
direct_substitution,F0,oracle,0.5,0.0667049276452816,0.13202025468810022,0.4920634920634921,0.5714285714285714,0.11442667704647635,0.19088749510669276,4.032904319189526,0.0,0.0,2.0
direct_substitution,F0,periodic,0.0,0.17369843616464956,0.17369843616464956,0.0,0.0,0.24808403844580154,0.3401358298846295,10.823399138611121,0.0,0.0,2.0
direct_substitution,F0,periodic,0.1,0.1598409698058957,0.17781710329453002,0.09682539682539683,0.0,0.23253114343904085,0.3401358298846295,9.971123589821262,0.0,0.0,2.0
